Business Name,Destination Address,Place ID,Type of Store,Rating,Reviews,Price Level,Day0_Close,Day0_Open,Day1_Close,Day1_Open,Day2_Close,Day2_Open,Day3_Close,Day3_Open,Day4_Close,Day4_Open,Day5_Close,Day5_Open,Day6_Close,Day6_Open,Departure Time,Day of the Week,Driving_Distance,Driving_Duration,Walking_Distance,Walking_Duration,Bicycling_Distance,Bicycling_Duration,Transit_Distance,Transit_Duration,Total_Driving,Total_Walking,Total_Biking,Total_Transit
Maison D'Alexandre,"33 Lewis St, Greenwich, CT 06830",ChIJGz4aH0aYwokR3VM8s7TtKXA,beauty_salon point_of_interest establishment ,5.0,2.0,,,,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,2018-08-24 14:00:24.670044,5,132666,5039,130617.0,99408.0,150540,33422,131103.0,9948.0,7860.2,151933.2,52954.2,15469.2
Johnson Law Firm,"302 W Broad St, Elizabethtown, NC 28337",ChIJr4DPe1NUqokRkN_WIRK4YC0,lawyer point_of_interest establishment ,4.3,12.0,,,,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,,,2018-08-19 05:31:05.479468,7,60431,2767,61392.0,44778.0,62907,11369,,,5594.2,69994.2,19880.7,
DROM,"85 Avenue A, New York, NY 10009",ChIJwUcmtIJZwokREiWU5DTPSJA,night_club bar point_of_interest establishment ,4.0,271.0,2.0,400.0,1800.0,200.0,1800.0,200.0,1800.0,200.0,1800.0,200.0,1800.0,200.0,1800.0,400.0,1800.0,2018-08-20 06:51:39.298940,1,21331,2064,18873.0,14239.0,21159,4759,26695.0,4323.0,5046.6,24341.1,10121.1,10005.6
Scrub Pro Uniforms & Gallo Clothing,"78 Mountain Rd, Glen Burnie, MD 21060",ChIJedSIUWL8t4kRfSSulbahtsk,shoe_store clothing_store store point_of_interest establishment ,4.1,58.0,,1900.0,1100.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2018-08-22 11:47:18.192432,3,21683,1067,15717.0,11827.0,22197,4631,29783.0,5600.0,3921.8,20595.3,9801.3,11154.8
DC Trekker,"1422 Harvard St NW, Washington, DC 20009",ChIJzYWEAOC3t4kRdAtxJcLzdMg,lodging point_of_interest establishment ,1.0,1.0,,,,,,,,,,,,,,,,2018-08-18 20:04:09.044555,6,2541,529,2395.0,1931.0,2549,653,5522.0,2471.0,3349.6,4751.6,3473.6,7991.6
Kohl's Fredericksburg,"1571 Carl D. Silver Parkway, Fredericksburg, VA 22401",ChIJHU597s7BtokRTRTESdWhd0o,department_store store point_of_interest establishment ,4.0,129.0,1.0,2100.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,900.0,2300.0,800.0,2018-08-22 11:41:59.499809,3,102836,5375,101945.0,75678.0,112321,22562,,,8212.4,116354.4,36680.4,
Investors Bank,"675 Hempstead Turnpike, Franklin Square, NY 11010",ChIJs35YjihjwokRq9CM0Xj_RUE,bank finance point_of_interest establishment ,,,,1300.0,1000.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1300.0,900.0,2018-08-24 11:15:47.848575,5,17095,1550,12611.0,9583.0,13115,2539,14169.0,3286.0,4370.0,17194.5,5359.0,8806.0
Barnes & Noble,"601 E Pratt St, Baltimore, MD 21202",ChIJgTs6RX0DyIkREHgimE15YMg,book_store electronics_store home_goods_store store point_of_interest establishment ,4.5,657.0,2.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2200.0,1000.0,2200.0,1000.0,2018-08-17 08:43:04.565988,5,6356,788,5414.0,4073.0,6992,1304,6478.0,2053.0,4002.2,9323.7,4518.2,7967.2
Market Cafe & Brick Oven Pizza,"425 Lexington Ave, New York, NY 10017",ChIJPZ9hTwJZwokRCUp3i6pRM8E,meal_delivery cafe bakery meal_takeaway store restaurant food point_of_interest establishment ,3.7,18.0,1.0,,,1800.0,500.0,1800.0,500.0,1800.0,500.0,1800.0,500.0,1800.0,500.0,,,2018-08-24 12:01:26.207803,5,21530,1743,18290.0,13897.0,18802,4224,22437.0,3539.0,4513.8,23616.3,9106.8,9009.8
Jos. A. Bank,"50 Massachusetts Ave NE, Washington, DC 20002",ChIJ9arkFSG4t4kRSV9cANuMtMY,shoe_store clothing_store store point_of_interest establishment ,2.0,6.0,3.0,1800.0,1100.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2018-08-26 02:12:38.866888,7,3303,796,3156.0,2541.0,4056,986,6839.0,2089.0,3679.6,5424.6,3869.6,7672.6
