Business Name,Destination Address,Place ID,Type of Store,Rating,Reviews,Price Level,Day0_Close,Day0_Open,Day1_Close,Day1_Open,Day2_Close,Day2_Open,Day3_Close,Day3_Open,Day4_Close,Day4_Open,Day5_Close,Day5_Open,Day6_Close,Day6_Open,Departure Time,Day of the Week,Driving_Distance,Driving_Duration,Walking_Distance,Walking_Duration,Bicycling_Distance,Bicycling_Duration,Transit_Distance,Transit_Duration
Maison D'Alexandre,"33 Lewis St, Greenwich, CT 06830",ChIJGz4aH0aYwokR3VM8s7TtKXA,beauty_salon point_of_interest establishment ,5,2 reviews,NA,NA,NA,1800,800,1800,800,1800,800,1800,800,1800,800,1800,800,2018-08-24 14:00:24.670044,5,132666,5039,130617,99408,150540,33422,131103,9948
Johnson Law Firm,"302 W Broad St, Elizabethtown, NC 28337",ChIJr4DPe1NUqokRkN_WIRK4YC0,lawyer point_of_interest establishment ,4.3,12 reviews,NA,NA,NA,1700,800,1700,800,1700,800,1700,800,1700,800,NA,NA,2018-08-19 05:31:05.479468,7,60431,2767,61392,44778,62907,11369,NA,NA
DROM,"85 Avenue A, New York, NY 10009",ChIJwUcmtIJZwokREiWU5DTPSJA,night_club bar point_of_interest establishment ,4,271 reviews,2,400,1800,200,1800,200,1800,200,1800,200,1800,200,1800,400,1800,2018-08-20 06:51:39.298940,1,21331,2064,18873,14239,21159,4759,26695,4323
Scrub Pro Uniforms & Gallo Clothing,"78 Mountain Rd, Glen Burnie, MD 21060",ChIJedSIUWL8t4kRfSSulbahtsk,shoe_store clothing_store store point_of_interest establishment ,4.1,58 reviews,NA,1900,1100,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2018-08-22 11:47:18.192432,3,21683,1067,15717,11827,22197,4631,29783,5600
DC Trekker,"1422 Harvard St NW, Washington, DC 20009",ChIJzYWEAOC3t4kRdAtxJcLzdMg,lodging point_of_interest establishment ,1,1 review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-18 20:04:09.044555,6,2541,529,2395,1931,2549,653,5522,2471
Kohl's Fredericksburg,"1571 Carl D. Silver Parkway, Fredericksburg, VA 22401",ChIJHU597s7BtokRTRTESdWhd0o,department_store store point_of_interest establishment ,4,129 reviews,1,2100,900,2200,900,2200,900,2200,900,2200,900,2300,900,2300,800,2018-08-22 11:41:59.499809,3,102836,5375,101945,75678,112321,22562,NA,NA
Investors Bank,"675 Hempstead Turnpike, Franklin Square, NY 11010",ChIJs35YjihjwokRq9CM0Xj_RUE,bank finance point_of_interest establishment ,NA,,NA,1300,1000,1700,900,1700,900,1700,900,1700,900,1700,900,1300,900,2018-08-24 11:15:47.848575,5,17095,1550,12611,9583,13115,2539,14169,3286
Barnes & Noble,"601 E Pratt St, Baltimore, MD 21202",ChIJgTs6RX0DyIkREHgimE15YMg,book_store electronics_store home_goods_store store point_of_interest establishment ,4.5,657 reviews,2,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2200,1000,2200,1000,2018-08-17 08:43:04.565988,5,6356,788,5414,4073,6992,1304,6478,2053
Market Cafe & Brick Oven Pizza,"425 Lexington Ave, New York, NY 10017",ChIJPZ9hTwJZwokRCUp3i6pRM8E,meal_delivery cafe bakery meal_takeaway store restaurant food point_of_interest establishment ,3.7,18 reviews,1,NA,NA,1800,500,1800,500,1800,500,1800,500,1800,500,NA,NA,2018-08-24 12:01:26.207803,5,21530,1743,18290,13897,18802,4224,22437,3539
Jos. A. Bank,"50 Massachusetts Ave NE, Washington, DC 20002",ChIJ9arkFSG4t4kRSV9cANuMtMY,shoe_store clothing_store store point_of_interest establishment ,2,6 reviews,3,1800,1100,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2018-08-26 02:12:38.866888,7,3303,796,3156,2541,4056,986,6839,2089
Trillium Links & Lake Club,"48, Links Dr, Cashiers, NC 28717",ChIJS0lAhLAbWYgRP7LYxrIjU-0,lodging restaurant food point_of_interest establishment ,4.8,28 reviews,NA,NA,NA,NA,NA,2100,1800,2100,1800,2100,1800,2100,1800,2100,1800,2018-08-22 08:00:05.831911,3,528376,19559,461835,344849,495407,100643,NA,NA
Lolita,"106 S 13th St, Philadelphia, PA 19107",ChIJ9V2bay_GxokRbWTupIS7tlg,bar restaurant food point_of_interest establishment ,4.4,279 reviews,2,0,1700,2300,1700,2300,1700,2300,1700,2300,1700,1500,1700,1500,1700,2018-08-17 00:51:22.105135,5,172706,6781,161983,121089,201248,40183,166439,7090
South State Bank,"1328 Fording Island Rd, Bluffton, SC 29910",ChIJZdGt8DOI-4gRYct42f6PTnA,bank finance point_of_interest establishment ,3.3,3 reviews,NA,NA,NA,1700,900,1700,900,1700,900,1700,900,1800,900,NA,NA,2018-08-20 07:31:23.813036,1,214013,7599,197498,143610,200337,36011,NA,NA
Stonewall Golf Club,"15601 Turtle Point Dr, Gainesville, VA 20155",ChIJreF7UoNmtokR3x018jK7o3g,point_of_interest establishment ,4.4,79 reviews,NA,2000,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,800,2018-08-19 07:04:06.513188,7,129043,5830,124189,92673,137745,30000,NA,NA
LoKs Salon,"172 Bridge St, Groton, CT 06340",ChIJ24JEpJsO5okRlTMcpN1PkNI,beauty_salon hair_care point_of_interest establishment ,4.9,20 reviews,NA,NA,NA,NA,NA,1900,1000,1900,1100,1900,1000,1900,1000,1600,900,2018-08-27 06:43:50.200721,1,75991,3192,77160,57975,80261,18050,NA,NA
Synovus Bank - Formerly NBSC,"2411 N Oak St Ste. 101, Myrtle Beach, SC 29577",ChIJt_4ag-VoAIkRX5vDx9UFowc,bank atm finance point_of_interest establishment ,5,1 review,NA,NA,NA,1700,900,1700,900,1700,900,1700,900,1700,900,NA,NA,2018-08-25 05:59:33.795849,6,266756,10450,255389,187578,270461,49019,NA,NA
Barbuzzo,"110 S 13th St, Philadelphia, PA 19107",ChIJOX1Kai_GxokRA9FwrimJP-Y,bar restaurant food point_of_interest establishment ,4.5,648 reviews,2,0,1700,1500,1700,1500,1700,1500,1700,1500,1700,1500,1700,1500,1700,2018-08-18 07:14:51.053016,6,172697,6778,161993,121096,201239,40182,157598,9843
The Advertising Club of NY,"989 6th Ave, New York, NY 10018",ChIJJZYfkaFZwokRiEINhohuIs8,point_of_interest establishment ,NA,,NA,NA,NA,1700,900,1700,900,1700,900,1700,900,1700,900,NA,NA,2018-08-25 17:38:39.528013,6,19525,1829,18384,13667,20402,4630,19826,2687
Mirabai of Woodstock,"23 Mill Hill Rd, Woodstock, NY 12498",ChIJ5TAFlDYH3YkRMVo9DODGqoE,book_store store point_of_interest establishment ,4.9,22 reviews,NA,1900,1100,1900,1100,1900,1100,1900,1100,1900,1100,1900,1100,1900,1100,2018-08-20 16:35:44.275398,1,188919,7505,176992,133974,204198,43227,203266,31080
Huntingdon Motor Inn,"6920 Motor Inn Dr, Huntingdon, PA 16652",ChIJGzKO-Rrjy4kRUcC7manVHzE,lodging point_of_interest establishment ,4,70 reviews,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-22 13:56:28.241796,3,150317,5959,138252,104886,165886,34662,NA,NA
Aqua Salon & Spa,"1629 York Rd, Lutherville-Timonium, MD 21093",ChIJ9YpLSz8OyIkRb2BB0QlBACs,beauty_salon hair_care spa point_of_interest establishment ,4.1,37 reviews,NA,NA,NA,NA,NA,1900,900,1900,900,1900,900,1900,900,1900,900,2018-08-27 18:45:31.700547,1,36264,1665,21251,16704,25017,6088,24387,4091
Mt Vernon Supermarket,"815 N Charles St #1, Baltimore, MD 21201",ChIJv9cVo5cEyIkRB099bB1L8Is,convenience_store liquor_store store food point_of_interest establishment ,4.7,6 reviews,NA,NA,NA,2355,1000,2355,1000,2355,1000,2355,1000,2355,1000,2355,1000,2018-08-22 18:50:02.467303,3,7070,971,6262,4873,8224,1688,6856,1705
Mobley Law Firm,"11 Whitsett St, Greenville, SC 29601",ChIJTznh3CkuWIgRR2DtjgRyAfM,lawyer point_of_interest establishment ,5,1 review,NA,NA,NA,1700,800,1700,800,1700,800,1700,800,1700,800,NA,NA,2018-08-24 08:45:33.983615,5,197960,6694,193174,142136,199111,38729,NA,NA
Bow Tie Cinemas Harbour 9,"2474 Solomons Island Rd, Annapolis, MD 21401",ChIJO3XxhMn2t4kRZ3EAUW0Ba9s,movie_theater point_of_interest establishment ,4.2,242 reviews,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21 23:29:02.041015,2,42637,1896,37713,28234,47641,9637,51993,7106
Quality Inn & Suites,"715 Sullivan Rd, Statesville, NC 28677",ChIJV0dr0mpZUYgR-voIKxLeW8g,lodging point_of_interest establishment ,3.6,134 reviews,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-23 06:07:24.466630,4,258309,9344,227552,167809,230852,44668,NA,NA
Buffalo Creek Bar & Grill,"850 Marina Way, Prosperity, SC 29127",ChIJu09FCSKH-IgR4l20q9xdn8g,bar restaurant food point_of_interest establishment ,4.1,151 reviews,NA,2200,800,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,800,2018-08-22 02:53:21.455722,3,86140,3697,85285,62156,81136,15837,NA,NA
Carson Valley School,"1419 Bethlehem Pike, Flourtown, PA 19031",ChIJscRaTcG7xokROSuZzUNaaYU,school point_of_interest establishment ,3,3 reviews,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-17 10:32:16.574326,5,159480,5929,157849,117580,187539,37318,181540,11344
